(1),(2),(3a),(3b),(4),(5),(6),(7a),(7b),(8),(9a),(9b),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19 ADR),(19 RID),(20),(1) 
0015,"AMMUNISJON, RØYK, med eller uten sprengladning, utstøterladning eller drivladning, inneholdende etsende stoffer",1,1.2G,,"1
+8",,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2G,0015
0016,"AMMUNISJON, RØYK, med eller uten sprengladning, utstøterladning eller drivladning, inneholder stoff som er giftig ved innånding",1,1.3G,,"1
+6.1",,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3
CV28",S1,,1.3G,0016
0016,"AMMUNISJON, RØYK, med eller uten sprengladning, utstøterladning eller drivladning",1,1.3G,,1,,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0016
0016,"AMMUNISJON, RØYK, med eller uten sprengladning, utstøterladning eller drivladning, inneholder etsende stoff",1,1.3G,,"1
+8",,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0016
0018,"AMMUNISJON, TÅREGASS, med sprengladning, utstøterladning eller drivladning",1,1.2G,,"1
+6.1
+8",,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3
CV28",S1,,1.2G,0018
0019,"AMMUNISJON, TÅREGASS, med sprengladning, utstøterladning eller drivladning",1,1.3G,,"1
+6.1
+8",,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3
CV28",S1,,1.3G,0019
0020,"AMMUNISJON, GIFTIG med sprengladning, utstøterladning eller drivladning
RID: ikke tillatt",1,1.2K,Ikke tillatt transportert,,,,,,,,,,,,,,,,,,,,0020
0021,"AMMUNISJON, GIFTIG med sprengladning, utstøterladning eller drivladning
RID: ikke tillatt",1,1.3K,Ikke tillatt transportert,,,,,,,,,,,,,,,,,,,,0021
0027,"SVARTKRUTT, granulert eller i
pulverform",1,1.1D,,"1
(+13)",,0,E0,P113,PP50,"MP20
MP24",,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0027
0028,"SVARTKRUTT, PRESSET, eller SVARTKRUTT I PELLETS",1,1.1D,,"1
(+13)",,0,E0,P113,PP51,"MP20
MP24",,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0028
0029,"TENNERE, IKKE ELEKTRISKE for sprengning",1,1.1B,,"1
(+13)",,0,E0,P131,PP68,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1B,0029
0030,"TENNERE, ELEKTRISKE for ­sprengning",1,1.1B,,"1
(+13)",,0,E0,P131,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1B,0030
0033,BOMBER med sprengladning,1,1.1F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1F,0033
0034,BOMBER med sprengladning,1,1.1D,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0034
0035,BOMBER med sprengladning,1,1.2D,,1,,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2D,0035
0037,"BOMBER, FOTO-FLASH",1,1.1F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1F,0037
0038,"BOMBER, FOTO-FLASH",1,1.1D,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0038
0039,"BOMBER, FOTO-FLASH",1,1.2G,,1,,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2G,0039
0042,OVERDRAGERE uten detonator,1,1.1D,,"1
(+13)",,0,E0,"P132
a) eller b)
  
",,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0042
0043,"LADNINGER, BRISTE, eksplosive",1,1.1D,,"1
(+13)",,0,E0,P133,PP69,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0043
0044,"TENNHETTER, TENNSKRUER",1,1.4S,,1.4,,0,E0,P133,,MP23 MP24,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0044
0048,"LADNINGER, SPRENG",1,1.1D,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0048
0049,"PATRONER, LYS",1,1.1G,,"1
(+13)",,0,E0,P135,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1G,0049
0050,"PATRONER, LYS",1,1.3G,,1,,0,E0,P135,,MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0050
0054,"PATRONER, SIGNAL",1,1.3G,,1,,0,E0,P135,,MP23 MP24,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0054
0055,"PATRONHYLSER, TOMME, MED TENNHETTE",1,1.4S,,1.4,364,5 kg,E0,P136,,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0055
0056,"BOMBER, DYPVANNS",1,1.1D,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0056
0059,"LADNINGER, RETTET uten
detonator",1,1.1D,,"1
(+13)",,0,E0,P137,PP70,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0059
0060,"LADNINGER, TILLEGGS,
EKSPLOSIVE",1,1.1D,,"1
(+13)",,0,E0,"P132
a) eller b)",,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0060
0065,"LUNTE, DETONERENDE, fleksibel",1,1.1D,,"1
(+13)",,0,E0,P139,"PP71
PP72",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0065
0066,"LUNTE, TENN (stupin)",1,1.4G,,1.4,,0,E0,P140,,MP23,,,,,,"2
(E)",V2,,"CV1
CV2
CV3",S1,"CE1
",1.4G,0066
0070,"KABELKUTTERE, EKSPLOSIVE",1,1.4S,,1.4,,0,E0,"P134
LP102",,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0070
0072,"CYCLOTRIMETYLENTRINITRAMIN (CYCLONIT; HEXOGEN; RDX), FUKTET med ikke under 15 masse­prosent vann",1,1.1D,,"1
(+15)",266,0,E0,"P112
(a)",PP45,MP20,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0072
0073,"DETONATORER FOR
 AMMUNISJON",1,1.1B,,"1
(+13)",,0,E0,P133,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1B,0073
0074,"DIAZODINITROFENOL, FUKTET med ikke under 40 masseprosent vann eller blanding av alkohol og vann
RID: ikke tillatt",1,1.1A,,1,266,0,E0,"P110
(b)",PP42,MP20,,,,,,"0
(B)",V2,,"CV1
CV2
CV3",S1,,,0074
0075,"DIETYLENGLYKOLDINITRAT, DESENSITERT med ikke under 25 masseprosent ikke flyktig, ikke vannløselig flegmatiseringsmiddel",1,1.1D,,"1
(+15)",266,0,E0,P115,"PP53
PP54
PP57
PP58",MP20,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0075
0076,"DINITROFENOL, tørr eller fuktet med under 15 masseprosent vann",1,1.1D,,"1+
6.1
(+13)",,0,E0,"P112
(a)
(b)(c)",PP26,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3
CV28",S1,,1.1D,0076
0077,"DINITROFENOLATER, alkali­metaller, tørre eller fuktet med under 15 masseprosent vann",1,1.3C,,"1+
6.1
(+13)",,0,E0,"P114
(a)
(b)",PP26,MP20,,,,,,"1
(C5000D)","V2
V3",,"CV1
CV2
CV3
CV28",S1,,1.3C,0077
0078,"DINITRORESORCINOL, tørr eller fuktet med under 15 masseprosent vann",1,1.1D,,"1
(+13)",,0,E0,"P112(a)
(b)(c)",PP26,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0078
0079,"HEXANITRODIFENYLAMIN
(DIPICRYLAMIN; HEXYL)",1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0079
0081,"SPRENGSTOFF, TYPE A",1,1.1D,,"1
(+13)","616
617",0,E0,P116,"PP63
PP66",MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0081
0082,"SPRENGSTOFF, TYPE B",1,1.1D,,"1
(+13)",617,0,E0,"P116
 
IBC100","PP61
PP62
B9",MP20,,,,,,"1
(B1000C)","V2
V3
V12",,"CV1
CV2
CV3",S1,,1.1D,0082
0083,"SPRENGSTOFF, TYPE C",1,1.1D,,"1
(+15)","267
617",0,E0,P116,,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0083
0084,"SPRENGSTOFF, TYPE D",1,1.1D,,"1
(+13)",617,0,E0,P116,,MP20,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0084
0092,"BLUSS, BAKKE",1,1.3G,,1,,0,E0,P135,,MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0092
0093,"BLUSS, LUFT",1,1.3G,,1,,0,E0,P135,,MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0093
0094,LYSSATS,1,1.1G,,"1
(+13)",,0,E0,P113,PP49,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1G,0094
0099,"LADNINGER, PERFORERING, EKSPLOSIVE, uten detonator, for bruk i oljebrønner",1,1.1D,,"1
(+13)",,0,E0,"P134
LP102",,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0099
0101,"LUNTE, IKKE DETONERENDE",1,1.3G,,1,,0,E0,P140,"PP74
PP75",MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0101
0102,"LUNTE, DETONERENDE,
 metalldekket",1,1.2D,,1,,0,E0,P139,PP71,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2D,0102
0103,"LUNTE, TENN (stupin), rørformet, metalldekket",1,1.4G,,1.4,,0,E0,P140,,MP23,,,,,,"2
(E)",V2,,"CV1
CV2
CV3",S1,,1.4G,0103
0104,"LUNTE, DETONERENDE,
MODERATVIRKENDE,
metalldekket",1,1.4D,,1.4,,0,E0,P139,PP71,MP21,,,,,,"2
(E)",V2,,"CV1
CV2
CV3",S1,,1.4D,0104
0105,SVARTKRUTTLUNTE,1,1.4S,,1.4,,0,E0,P140,PP73,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0105
0106,BRANNRØR,1,1.1B,,"1
(+13)",,0,E0,P141,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1B,0106
0107,"BRANNRØR, TENNRØR",1,1.2B,,"1
(+13)",,0,E0,P141,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2B,0107
0110,"GRANATER, ØVELSES, hånd eller gevær",1,1.4S,,1.4,,0,E0,P141,,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0110
0113,"GUANYLNITROSAMINOGUANYLIDENHYDRAZIN, FUKTET med ikke under 30 masseprosent vann
RID: ikke tillatt",1,1.1A,,1,266,0,E0,P110(b),PP42,MP20,,,,,,"0
(B)",V2,,"CV1
CV2
CV3",S1,,,0113
0114,"GUANYLNITROSAMINOGUANYLTETRAZEN (TETRAZEN) FUKTET med ikke under 30 masseprosent vann eller blanding av alkohol og vann
RID: ikke tillatt",1,1.1A,,1,266,0,E0,P110(b),PP42,MP20,,,,,,"0
(B)",V2,,"CV1
CV2
CV3",S1,,,0114
0118,"HEXOLIT (HEXOTOL, tørr eller fuktet med under 15 masseprosent vann",1,1.1D,,"1
(+13)",,0,E0,"P112 (a), (b) eller (c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0118
0121,TENNERE,1,1.1G,,"1
(+13)",,0,E0,P142,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1G,0121
0124,"PERFORERINGSRØR, LADET, for oljebrønner, uten detonator",1,1.1D,,"1
(+13)",,0,E0,P101,,MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0124
0129,"BLYAZID, FUKTET med ikke under 20 masseprosent vann eller blanding av alkohol og vann
RID: ikke tillatt",1,1.1A,,1,266,0,E0,P110(b),PP42,MP20,,,,,,"0
(B)",V2,,"CV1
CV2
CV3",S1,,,0129
0130,"BLYSTYFNAT (BLYTRINITRORESORCINAT), FUKTET med ikke under 20 masseprosent vann eller blanding av alkohol og vann
RID: ikke tillatt",1,1.1A,,1,266,0,E0,P110(b),PP42,MP20,,,,,,"0
(B)",V2,,"CV1
CV2
CV3",S1,,,0130
0131,LUNTETENNERE,1,1.4S,,1.4,,0,E0,P142,,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0131
0132,"DEFLAGRERENDE METALLSALT AV AROMATISKE NITRODERIVATER, N.O.S.",1,1.3C,,"1
(+13)",274,0,E0,"P114(a)
(b)",PP26,MP2,,,,,,"1
(C5000D)","V2
V3",,"CV1
CV2
CV3",S1,,1.3C,0132
0133,"MANNITOLHEXANITRAT, (NITROMANITT) FUKTET med ikke under 40 masseprosent vann eller blanding av alkohol og vann",1,1.1D,,"1
(+15)",266,0,E0,P112(a),,MP20,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0133
0135,"KVIKKSØLVFULMINAT,
FUKTET med ikke under 20 masseprosent vann eller blanding av alkohol og vann
RID: ikke tillatt",1,1.1A,,1,266,0,E0,P110(b),PP42,MP20,,,,,,"0
(B)",V2,,"CV1
CV2
CV3",S1,,,0135
0136,MINER med sprengladning,1,1.1F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1F,0136
0137,MINER med sprengladning,1,1.1D,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0137
0138,MINER med sprengladning,1,1.2D,,1,,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2D,0138
0143,"NITROGLYSEROL,
DESENSITERT med ikke under 40 masseprosent ikke flyktig, ikke
 vannløselig flegmatiseringsmiddel",1,1.1D,,"1+
6.1
(+15)","266
271",0,E0,P115,"PP53
PP54
PP57
PP58",MP20,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3
CV28",S1,,1.1D,0143
0144,"NITROGLYSEROL SOM ER LØST I ALKOHOL med over 1 % men ikke over
10 % nitroglyserol",1,1.1D,,"1
(+13)",358,0,E0,P115,"PP45
PP55
PP56
PP59
PP60",MP20,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0144
0146,"NITROSTIVELSE, tørr eller fuktet med under 20 masseprosent vann",1,1.1D,,"1
(+15)",,0,E0,"P112 (a), (b) eller (c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0146
0147,NITROUREA,1,1.1D,,"1
(+13)",,0,E0,P112(b),,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0147
0150,"PENTAERYTRITTETRANITRAT (PENTAERYTRITOLTETRANITRAT; PETN), FUKTET med ikke under
25 masseprosent vann eller DESENSITERT med ikke under 15 masseprosent flegmatiseringsmiddel",1,1.1D,,"1
(+15)",266,0,E0,"P112(a)
(b)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0150
0151,PENTOLIT tørr eller fuktet med under 15 masseprosent vann,1,1.1D,,"1
(+13)",,0,E0,"P112 (a), (b) eller (c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0151
0153,TRINITROANILIN (PIKRAMID),1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0153
0154,"TRINITROFENOL (PIKRINSYRE), tørr eller fuktet med under 30 masseprosent vann",1,1.1D,,"1
(+13)",,0,E0,"P112(a)
(b)(c)",PP26,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0154
0155,TRINITROKLORBENZEN (PIKRYLKLORID),1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0155
0159,"BALLISTITTMASSE
(KRUTTMASSE), FUKTET med ikke under 25 masseprosent vann",1,1.3C,,"1
(+13)",266,0,E0,P111,PP43,MP20,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3C,0159
0160,"KRUTT, RØYKSVAKT",1,1.1C,,"1
(+15)",,0,E0,P114(b),"PP50
PP52",MP20 MP24,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1C,0160
0161,"KRUTT, RØYKSVAKT",1,1.3C,,"1
(+13)",,0,E0,P114(b),"PP50
PP52",MP20 MP24,,,,,,"1
(C5000D)","V2
V3",,"CV1
CV2
CV3",S1,,1.3C,0161
0167,PROSJEKTILER med sprengladning,1,1.1F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1F,0167
0168,PROSJEKTILER med sprengladning,1,1.1D,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1D,0168
0169,PROSJEKTILER med sprengladning,1,1.2D,,1,,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2D,0169
0171,"AMMUNISJON, LYS, med eller uten sprengladning, utstøterladning eller drivladning",1,1.2G,,1,,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2G,0171
0173,"UTLØSERMEKANISMER,
EKSPLOSIVE",1,1.4S,,1.4,,0,E0,"P134
LP102",,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0173
0174,"NAGLER, EKSPLOSIVE",1,1.4S,,1.4,,0,E0,"P134
LP102",,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0174
0180,RAKETTER med sprengladning,1,1.1F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1F,0180
0181,RAKETTER med sprengladning,1,1.1E,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1E,0181
0182,RAKETTER med sprengladning,1,1.2E,,1,,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2E,0182
0183,RAKETTER med kaldt hode,1,1.3C,,1,,0,E0,"P130
LP101","PP67
L1",MP22,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3C,0183
0186,RAKETTMOTORER,1,1.3C,,1,,0,E0,"P130
LP101","PP67
L1",MP22 MP24,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3C,0186
0190,"EKSPLOSIVPRØVER, annet enn
initialeksplosiver",1,,,,"16
274",0,E0,P101,,MP2,,,,,,"0
(E)",V2,,"CV1
CV2
CV3",S1,,,0190
0191,"SIGNALMIDLER, HÅND",1,1.4G,,1.4,,0,E0,P135,,MP23 MP24,,,,,,"2
(E)",V2,,"CV1
CV2
CV3",S1,,1.4G,0191
0192,"SIGNALER, JERNBANESPOR, EKSPLOSIVE",1,1.1G,,"1
(+13)",,0,E0,P135,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1G,0192
0193,"SIGNALER, JERNBANESPOR, EKSPLOSIVE",1,1.4S,,1.4,,0,E0,P135,,MP23,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,CE1,1.4S,0193
0194,"SIGNALER, NØD, skip",1,1.1G,,"1
(+13)",,0,E0,P135,,MP23 MP24,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1G,0194
0195,"SIGNALER, NØD, skip",1,1.3G,,1,,0,E0,P135,,MP23 MP24,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0195
0196,"SIGNALER, RØYK",1,1.1G,,"1
(+13)",,0,E0,P135,,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1G,0196
0197,"SIGNALER, RØYK",1,1.4G,,1.4,,0,E0,P135,,MP23 MP24,,,,,,"2
(E)",V2,,"CV1
CV2
CV3",S1,,1.4G,0197
0204,"LODDSKUDD, EKSPLOSIVE",1,1.2F,,"1
(+13)",,0,E0,"P134
LP102",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2F,0204
0207,TETRANITROANILIN,1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0207
0208,TRINITROFENYLMETYLNITRAMIN (TETRYL),1,1.1D,,"1
(+15)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0208
0209,"TRINITROTOLUEN (TNT), tørr
eller fuktet med under 30 masseprosent vann",1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",PP46,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0209
0212,SPORLYS FOR AMMUNISJON,1,1.3G,,1,,0,E0,P133,PP69,MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0212
0213,TRINITROANISOL,1,1.1D,,"1
(+13)",,0,E0,"P112 (b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0213
0214,"TRINITROBENZEN, tørr eller
fuktet med under 30 masseprosent vann",1,1.1D,,"1
(+13)",,0,E0,"P112 (a),
(b) eller (c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0214
0215,"TRINITROBENZOSYRE, tørr eller fuktet med under 30 masseprosent vann",1,1.1D,,"1
(+13)",,0,E0,"P112 (a), (b) eller (c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0215
0216,TRINITRO-m-KRESOL,1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",PP26,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0216
0217,TRINITRONAFTALEN,1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0217
0218,TRINITROFENETOL,1,1.1D,,"1
(+13)",,0,E0,"P112(b)
(c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0218
0219,"TRINITRORESORCINOL
(STYFNINSYRE), tørr eller fuktet med ikke under 20 masseprosent vann eller blanding av alkohol og vann",1,1.1D,,"1
(+15)",,0,E0,"P112 (a),
(b) eller (c)",PP26,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0219
0220,UREANITRAT tørr eller fuktet med under 20 masseprosent vann,1,1.1D,,"1
(+13)",,0,E0,"P112 (a), (b) eller (c)",,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0220
